iter	Passed	Remaining
753	36091	2201
754	36128	2153
755	36162	2104
756	36193	2055
757	36233	2007
758	36270	1959
759	36300	1910
760	36334	1862
761	36368	1813
762	36398	1765
763	36434	1716
764	36473	1668
765	36510	1620
766	36549	1572
767	36586	1524
768	36625	1476
769	36662	1428
770	36700	1380
771	36741	1332
772	36791	1285
773	36832	1237
774	36867	1189
775	36902	1141
776	36933	1093
777	36964	1045
778	36997	997
779	37028	949
780	37061	901
781	37098	853
782	37133	806
783	37165	758
784	37198	710
785	37238	663
786	37286	615
787	37334	568
788	37380	521
789	37414	473
790	37455	426
791	37503	378
792	37545	331
793	37578	283
794	37624	236
795	37680	189
796	37736	142
797	37770	94
798	37816	47
799	37885	0
